days,id,pb,pe,stop_day,turnover,year
693,000333.SZ,3.86,15.47,2019/06/17,0.63,3
242,000651.SZ,3.65,11.2,2019/06/17,0.99,1
487,000651.SZ,3.86,12.01,2019/06/17,1.05,2
581,000651.SZ,3.75,11.83,2019/10/09,1.11,3
1069,000651.SZ,3.36,10.38,2019/06/17,1.23,5
732,000895.SZ,6.0,17.53,2019/06/17,0.44,3
243,002597.SZ,3.22,11.18,2019/06/17,1.52,1
488,002597.SZ,3.86,14.13,2019/06/17,1.63,2
732,002597.SZ,3.77,17.32,2019/10/09,1.78,3
1189,002597.SZ,3.4,21.77,2019/06/17,2.22,5
732,600066.SH,3.34,12.64,2019/06/17,0.68,3
727,600104.SH,1.53,9.44,2019/08/06,0.23,3
243,600377.SH,1.93,11.85,2019/06/17,0.12,1
488,600377.SH,2.03,12.97,2019/06/17,0.12,2
732,600377.SH,2.05,13.99,2019/08/06,0.12,3
1220,600377.SH,1.96,13.78,2019/06/17,0.2,5
732,600519.SH,7.8,28.01,2019/06/17,0.31,3
721,600522.SH,2.01,19.22,2019/06/18,2.1,3
243,600660.SH,3.21,16.75,2019/06/17,0.61,1
488,600660.SH,3.29,17.85,2019/06/17,0.63,2
732,600660.SH,3.05,16.63,2019/10/09,0.61,3
1220,600660.SH,2.86,15.19,2019/06/17,0.84,5
708,600887.SH,6.07,24.09,2019/06/17,0.95,3
243,601012.SH,4.1,20.9,2019/06/17,1.13,1
488,601012.SH,4.05,21.37,2019/06/17,1.14,2
731,601012.SH,3.96,25.7,2019/10/09,1.19,3
1200,601012.SH,4.1,38.84,2019/06/17,2.21,5
